x y u_11 u_12 u_13 u_21 u_22 u_23 u_31 u_32 u_33
104 33 -0.523641 -0.289273 -0.801326 -0.091218 -0.916146 0.390327 -0.847043 0.277484 0.453343
181 38 0.067086 -0.997314 0.0294 -0.218497 0.014066 0.975735 -0.973532 -0.07188 -0.21696
173 29 0.944015 -0.298254 -0.141004 0.328306 0.891338 0.312619 0.032442 -0.341411 0.939354
22 92 -0.765918 -0.447682 -0.461471 0.165598 -0.830895 0.531206 -0.621257 0.330442 0.71053
104 25 -0.147595 0.94349 0.296713 -0.361051 0.227902 -0.904269 -0.920796 -0.240595 0.307007
23 141 -0.21084 -0.062579 -0.97551 0.769016 -0.626701 -0.126002 -0.60347 -0.77674 0.180261
87 84 0.320286 -0.938656 -0.127843 0.485636 0.278554 -0.828587 0.813391 0.203303 0.54504
31 172 -0.677411 -0.708997 0.196064 0.231395 0.047621 0.971688 -0.698267 0.703604 0.1318
128 133 0.987198 -0.124075 0.100251 -0.147214 -0.466506 0.872178 -0.061449 -0.875774 -0.478795
211 94 -0.109276 -0.900458 -0.420994 0.535759 0.303406 -0.787975 0.837273 -0.31166 0.449269
134 65 0.088862 0.987361 -0.131209 -0.833619 0.001635 -0.552347 -0.545159 0.158467 0.823216
35 82 -0.802296 0.231893 -0.550042 -0.351745 -0.928145 0.121756 -0.482285 0.291161 0.82621
136 126 -0.010088 -0.339404 -0.940569 0.520537 0.801367 -0.294747 0.853795 -0.492566 0.168589
72 180 -0.287483 0.551998 -0.782711 -0.957794 -0.164571 0.235717 0.001289 0.817448 0.576
63 138 -0.091248 -0.995616 -0.020309 -0.278868 0.005975 0.960312 -0.955992 0.093286 -0.278184
186 66 0.842799 -0.529385 -0.09719 0.085555 -0.046519 0.995245 -0.53139 -0.847105 0.006088
154 143 -0.35725 0.852089 0.382503 -0.864414 -0.456761 0.21018 0.353812 -0.255559 0.899721
155 135 -0.994465 -0.078097 0.070319 0.104374 -0.655535 0.747911 -0.012319 0.751119 0.660055
185 64 0.842761 -0.529568 -0.096522 0.085129 -0.045944 0.995308 -0.53152 -0.847021 0.006364
70 55 -0.98749 0.036277 -0.153472 0.155851 0.373155 -0.914585 0.024087 -0.927057 -0.374139
195 174 0.1255 -0.086022 -0.988355 -0.501681 -0.864981 0.011579 -0.855903 0.494378 -0.151704
102 9 -0.953065 -0.302632 -0.009155 0.013466 -0.012157 -0.999834 0.302469 -0.953031 0.01566
48 119 -0.898695 0.311114 -0.309123 0.252836 -0.208407 -0.944796 -0.358361 -0.92724 0.108635
166 77 0.634215 -0.034221 -0.772406 0.773174 0.023017 0.63379 -0.003891 -0.999135 0.041077
125 11 0.129189 0.324202 -0.937124 0.982478 0.086186 0.165257 0.134344 -0.942053 -0.307389
79 22 0.243541 0.258282 -0.934863 0.878072 0.350669 0.325621 0.411946 -0.900174 -0.141386
217 142 0.836789 0.278582 -0.471357 -0.294447 0.954762 0.041571 0.461616 0.104003 0.880962
197 168 -0.228737 -0.91729 -0.325972 0.500704 0.17631 -0.847462 0.834858 -0.357061 0.418972
136 58 -0.09274 -0.994272 -0.053075 0.794079 -0.041696 -0.606387 0.600714 -0.098397 0.793386
126 88 -0.367341 0.542542 -0.755451 -0.08195 -0.827962 -0.554766 -0.92647 -0.141876 0.348603
